City,State,Population
Utica, New York,"60,040"
Monterey Park, California,"60,198"
Bonita Springs, Florida,"57,398"
Porterville, California,"59,685"
Greenwood, Indiana,"58,701"
Bartlett, Tennessee,"59,403"
Bradenton, Florida,"57,601"
Vineland, New Jersey,"59,856"
Pontiac, Michigan,"59,741"
Meriden, Connecticut,"59,566"
Gardena, California,"59,540"
Apex, North Carolina,"53,859"
Royal Oak, Michigan,"59,356"
Cupertino, California,"60,004"
Lancaster, Pennsylvania,"59,407"
La Mesa, California,"59,389"
Gilroy, California,"58,588"
St. Clair Shores, Michigan,"59,282"
Des Plaines, Illinois,"58,854"
Springfield, Ohio,"59,263"
Corvallis, Oregon,"58,969"
Margate, Florida,"58,495"
Bowie, Maryland,"58,610"
Casa Grande, Arizona,"57,019"
Caldwell, Idaho,"56,478"
San Rafael, California,"58,704"
Great Falls, Montana,"58,751"
Sarasota, Florida,"57,746"
Richland, Washington,"57,533"
St. Peters, Missouri,"57,123"
Hendersonville, Tennessee,"57,634"
White Plains, New York,"58,141"
Huntersville, North Carolina,"57,212"
Santee, California,"57,944"
Kokomo, Indiana,"57,922"
Arcadia, California,"58,385"
Casper, Wyoming,"57,515"
Dubuque, Iowa,"57,975"
Orland Park village, Illinois,"58,179"
Weymouth Town, Massachusetts,"57,511"
Parker, Colorado,"55,813"
Palm Beach Gardens, Florida,"57,007"
Hanford, California,"56,971"
Huntington Park, California,"57,998"
Taunton, Massachusetts,"57,365"
Midwest City, Oklahoma,"57,186"
Medford, Massachusetts,"57,554"
Euless, Texas,"57,241"
Shoreline, Washington,"56,557"
Smyrna, Georgia,"56,512"
Pocatello, Idaho,"55,982"
Valdosta, Georgia,"56,428"
Carson, Nevada,"55,202"
Lake Havasu City, Arizona,"55,020"
Grand Forks, North Dakota,"56,637"
Blue Springs, Missouri,"55,126"
Southaven, Mississippi,"54,979"
Tinley Park village, Illinois,"56,095"
Diamond Bar, California,"56,106"
New Brunswick, New Jersey,"55,878"
Lenexa, Kansas,"55,349"
Brookhaven, Georgia,"54,029"
Novato, California,"55,640"
Tigard, Oregon,"54,652"
Highland, California,"55,311"
Fountain Valley, California,"55,663"
Dearborn Heights, Michigan,"55,627"
Albany, Oregon,"54,518"
Grapevine, Texas,"53,809"
Apple Valley, Minnesota,"54,065"
Chicopee, Massachusetts,"55,424"
Hempstead village, New York,"55,246"
Oak Lawn village, Illinois,"55,430"
Cathedral City, California,"54,793"
Bentonville, Arkansas,"51,103"
Stonecrest, Georgia,"54,424"
Kettering, Ohio,"55,014"
Colton, California,"54,637"
Anderson, Indiana,"54,883"
West Haven, Connecticut,"54,895"
Burlington, North Carolina,"53,911"
Manhattan, Kansas,"54,983"
St. Cloud, Florida,"54,200"
Normal, Illinois,"54,629"
Decatur, Alabama,"54,364"
Berwyn, Illinois,"54,821"
Port Arthur, Texas,"54,889"
Kingsport, Tennessee,"54,006"
Minnetonka, Minnesota,"53,883"
Rosemead, California,"54,226"
Paramount, California,"54,259"
Rocky Mount, North Carolina,"54,232"
Yucaipa, California,"53,557"
Watsonville, California,"53,875"
Elyria, Ohio,"53,797"
Leesburg, Virginia,"53,763"
Mount Prospect village, Illinois,"54,116"
Pinellas Park, Florida,"53,157"
Delano, California,"52,921"
Bellevue, Nebraska,"53,494"
West Sacramento, California,"53,601"
Apopka, Florida,"53,557"
Palm Desert, California,"53,129"
Milford, Connecticut,"53,148"
Little Elm, Texas,"49,644"
Revere, Massachusetts,"53,483"
Peabody, Massachusetts,"53,092"
Wylie, Texas,"51,003"
Harrisonburg, Virginia,"53,488"
DeSoto, Texas,"53,254"
Pensacola, Florida,"52,637"
Olympia, Washington,"52,508"
Edina, Minnesota,"52,430"
Wheaton, Illinois,"53,108"
West New York, New Jersey,"52,668"
Hoboken, New Jersey,"53,134"
Lacey, Washington,"50,600"
Summerville, South Carolina,"51,880"
Coeur d'Alene, Idaho,"51,210"
Oak Park village, Illinois,"52,173"
Elkhart, Indiana,"52,373"
Maricopa, Arizona,"50,028"
Kentwood, Michigan,"51,829"
Madison, Alabama,"50,491"
Smyrna, Tennessee,"50,748"
Glendora, California,"51,846"
Logan, Utah,"51,334"
Burien, Washington,"51,731"
Perth Amboy, New Jersey,"51,677"
Herriman, Utah,"44,663"
Grand Island, Nebraska,"51,219"
Placentia, California,"51,538"
La Crosse, Wisconsin,"51,491"
Battle Creek, Michigan,"51,105"
Beaumont, California,"49,126"
Collierville, Tennessee,"50,671"
West Lafayette, Indiana,"49,019"
Florissant, Missouri,"51,147"
Hoffman Estates village, Illinois,"51,111"
Joplin, Missouri,"50,604"
Queen Creek, Arizona,"47,123"
Aliso Viejo, California,"51,206"
Kannapolis, North Carolina,"49,770"
Methuen Town, Massachusetts,"50,565"
